COMMON.NAME,SCIENTIFIC.NAME,OBSERVATION.COUNT,STATE,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION.DATE,SPECIES.COMMENTS,month,day,daym,year
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Maharashtra,Thane,Barvi Forest Range,19.1991204,73.3344054,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,Singanayakanahalli (Nagadasanahalli) Kere,13.1558073,77.5733203,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Ramanagara,Cauvery WLS--Galibore,12.2820567,77.3748422,1/29/2020,Rufous male and female,1,29,29,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Ramanagara,Cauvery WLS--Galibore,12.2820567,77.3748422,1/30/2020,NA,1,30,30,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Puducherry,Puducherry,Rajiv Gandhi Institute of Veterinary Education and Research,11.9381085,79.763993,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Ernakulam,"(10.2548,76.6319)",10.254752,76.631915,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Nagappattinam,Vaimedu,10.4172396,79.6839797,2/8/2020,Rufous,2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kasaragod,Peralathvayal,12.3489824,75.0896195,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Thiruvarur,Vaduvur Bird Sanctuary,10.700861,79.3205166,2/9/2020,White morph,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Idukki,Manalkayam - Azutha (42.25.2 - List 4),9.532873,77.0145,1/30/2020,NA,1,30,30,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Puducherry,Puducherry,Rajiv Gandhi Institute of Veterinary Education and Research,11.9381085,79.763993,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kannur,Aralam WLS,11.9493188,75.860836,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Kerala,Kannur,Aralam WLS,11.9493188,75.860836,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Thrissur,Anapantham APC--Vellikulangara RF,10.3789169,76.5116874,2/8/2020,NA,2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Thrissur,"69,18,4--Old Tramway Path, Pariyaram, Kerala, IN (10.386, 76.532)",10.3859482,76.5315799,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Thrissur,"69,18,4--Old Tramway Path, Pariyaram, Kerala, IN (10.386, 76.532)",10.3859482,76.5315799,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Pathanamthitta,Thiruvamanapuram-West Othera,9.3661637,76.6091466,1/26/2020,NA,1,26,26,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Madhya Pradesh,Hoshangabad,Satpura Tiger Reserve--Sonbhadra Confluence,22.5547183,78.171891,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kannur,Chamakkavu,12.151578,75.2097485,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Tamil Nadu,Coimbatore,Kallar Reserve Forest,11.3367009,76.8699431,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Virudunagar,Ramco Institute of Technology,9.4838045,77.513248,2/10/2020,NA,2,41,10,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kollam,"Mambazhathara road (9.0321,76.9893)",9.032143,76.989317,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kollam,"20,13,7",8.8693658,76.8766,2/8/2020,NA,2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Madhya Pradesh,Hoshangabad,"Madhya Pradesh, IN (22.506, 78.378)",22.5064099,78.3776308,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Madhya Pradesh,Hoshangabad,"Badcachhar , Madhya Pradesh, IN (22.505, 78.436)",22.5050765,78.4356594,2/8/2020,NA,2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,West Bengal,Kolkata,Rabindra Sarovar (including Lion's Safari Park),22.5123362,88.3597136,2/11/2020,NA,2,42,11,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Gujarat,Gandhinagar,Aranya Udhyan,23.1939685,72.6693939,1/13/2020,NA,1,13,13,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Gujarat,Gandhinagar,Indroda Nature Park,23.1933083,72.6484251,2/2/2020,NA,2,33,2,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Gujarat,Gandhinagar,Indroda Nature Park,23.1933083,72.6484251,1/19/2020,NA,1,19,19,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Madhya Pradesh,Seoni,Pench Tiger Reserve--Turia Zone,21.7429978,79.3310094,6/2/2019,NA,6,153,2,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bidar,Deva Deva Vana,17.8737739,77.5556797,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Maharashtra,Thane,tungareshwar road,19.41714,72.904458,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Kerala,Kollam,"Subcell 22,13,4 Anchal , Kollam IN-Kerala (8.9176,76.8818)",8.917621,76.881836,2/12/2020,NA,2,43,12,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kollam,"Hill Highway, Bharatheepuram, Kerala, IN (8.926, 76.975)",8.925963,76.9745804,2/11/2020,NA,2,42,11,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Tamil Nadu,Coimbatore,Nilgiri Biosphere Nature Park,11.0983202,76.7496807,2/12/2020,NA,2,43,12,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Maharashtra,Raigarh,Matheran,18.9933103,73.2709551,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kannur,Payyanur College,12.1025193,75.2331991,2/12/2020,NA,2,43,12,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Ernakulam,"Kuttampuzha - Idamalayar - Pongumchuvad Road, Ayyampuzha, Kerala, IN (10.254, 76.631)",10.2543728,76.6312615,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Tamil Nadu,Madurai,velichanatham,10.0498354,78.1448454,2/11/2020,NA,2,42,11,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Bangalore,"National Centre for Biological Sciences (NCBS), GKVK Campus",13.0713427,77.5798161,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,"National Centre for Biological Sciences (NCBS), GKVK Campus",13.0713427,77.5798161,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,"National Centre for Biological Sciences (NCBS), GKVK Campus",13.0713427,77.5798161,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Sabaragamuwa Palata,NA,Kudawa--Sri Lanka Spurfowl Site,6.4284283,80.438737,2/12/2020,NA,2,43,12,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Gujarat,Jamnagar,Khijadiya Bird Sanctuary,22.5236846,70.1422461,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,"GKVK Campus, Bangalore",13.0857318,77.5713301,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,"Indian Institute of Science Education and Research (IISER) Tirupati, Mangalam campus",13.6586332,79.4861672,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Southern Province,NA,Yala National Park (General),6.3531747,81.4722061,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Bangalore,"National Centre for Biological Sciences (NCBS), GKVK Campus",13.0713427,77.5798161,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Wayanad,"College of Veterinary and Animal Sciences, Pookode",11.5402435,76.0218501,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kasaragod,Ranipuram Reserve Forest,12.4182172,75.3517058,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kasaragod,Ranipuram Reserve Forest,12.4182172,75.3517058,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kasaragod,Ranipuram Reserve Forest,12.4182172,75.3517058,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kasaragod,Bheemanadi Reserve Forest--Plachikkara,12.3364802,75.2850795,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Himachal Pradesh,Kangra,Dharmashala Tea Estate,32.2040251,76.314577,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Bangalore,"National Centre for Biological Sciences (NCBS), GKVK Campus",13.0713427,77.5798161,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Salem,"Unnamed Road, Thirthagira R.F., Tamil Nadu, IN (11.846, 78.622)",11.8461647,78.62242,2/15/2020,Male,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Mysore,Lingambudhi Kere--Main Entrance. ಲಿಂಗಾಂಬುಧಿ  ಮುಖ್ಯ ದ್ವಾರ,12.274418,76.616083,2/14/2020,Female,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Karnataka,Bangalore,Indian Institute of Science (IISc) Campus--Jubilee Gardens,13.0205556,77.5705556,12/16/2019,NA,12,350,16,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Chhattisgarh,Bastar,"Kanger valley national park (19.0140,82.1301)",19.014042,82.130126,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Karnataka,Tumkur,"Huliyurudurga, Kungal Taluk, Tumkur Dt",12.8200673,77.0352852,2/14/2020,Two rufous Male and a female all together sighted,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Tamil Nadu,Kancheepuram,Nanmangalam Reserve Forest,12.926854,80.1731157,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Kerala,Palakkad,"Mundur, Kerala, IN (10.833, 76.594)",10.833304,76.5940407,2/2/2020,NA,2,33,2,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,Rishi Valley--School Campus,13.6328386,78.4527254,2/14/2020,White male; outside the Dining Hall.,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Udupi,Manipal Institute of Technology,13.3498088,74.7926903,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,"Indian Institute of Science Education and Research (IISER) Tirupati, Mangalam campus",13.6586332,79.4861672,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,Mamanduru Eco park,13.7516975,79.4668532,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,Mamanduru Eco park,13.7516975,79.4668532,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,Mamanduru Eco park,13.7516975,79.4668532,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Chittoor,"Indian Institute of Science Education and Research (IISER) Tirupati, Mangalam campus",13.6586332,79.4861672,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Udupi,"Malyadi lake, Kundapura",13.5517742,74.7123957,2/15/2020,Rufous male,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Thrissur,College of Veterinary and Animal Sciences,10.5318111,76.2666768,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Thrissur,College of Veterinary and Animal Sciences,10.5318111,76.2666768,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Telangana,Mahbubnagar,Uma Maheswaram,16.3690507,78.7290214,1/25/2020,NA,1,25,25,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Palakkad,"Government College, Chittur",10.685938,76.7218718,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Kerala,Palakkad,Govt College Chittur,10.7037917,76.7449951,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Kerala,Palakkad,Govt College Chittur,10.7037917,76.7449951,2/14/2020,NA,2,45,14,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Ramanathapuram,Thanichiyam 1,9.182275,78.6284823,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Ramanathapuram,Keelaselvanur 1,9.2103481,78.569554,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Salem,"Kottachedu, Yercaud",11.7905256,78.2722368,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Salem,"Kottachedu, Yercaud",11.7905256,78.2722368,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Salem,Soora Muniyappan Temple,11.777455,78.2700183,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Goa,North Goa,Bondla Wildlife Sanctuary,15.4418498,74.1061735,1/12/2020,NA,1,12,12,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Uttara Kannada,"Old Magazine House, Ganeshgudi",15.2923609,74.5205855,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Maharashtra,Thane,"Tungareshwar Road, Sativali, Maharashtra, IN (19.41, 72.893)",19.4099437,72.8928301,2/16/2020,NA,2,47,16,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Udupi,Court Road-Kundapura,13.6370295,74.688572,2/16/2020,NA,2,47,16,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kannur,"Unnamed Road, Kerala, IN (12.103, 75.214)",12.1028589,75.2136201,2/16/2020,NA,2,47,16,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Kerala,Palakkad,Palakkad Hills--Elival Foothills,10.8663502,76.645174,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Andhra Pradesh,Chittoor,"Indian Institute of Science Education and Research (IISER) Tirupati, Mangalam campus",13.6586332,79.4861672,2/16/2020,NA,2,47,16,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Kerala,Thiruvananthapuram,"Feb 15, 2020 9:48 AM8.837, 77.075",8.8365694,77.0745043,2/15/2020,NA,2,46,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,7,Maharashtra,Thane,Barvi Forest Range,19.1991204,73.3344054,2/9/2020,NA,2,40,9,2020
