Sl.No.,Sources,Photo/comments,COMMON.NAME,STATE,region,LATITUDE,LONGITUDE,month,day,year,morph
497,ebird,Photo,Indian Paradise-Flycatcher,Jammu & Kashmir,Himalayas,28.385614,75.7106 ,5,9,2015,W
498,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.5696138,79.0381297,5,11,2015,W
499,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.7897239,78.774663,5,12,2015,W
500,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.4760601,79.0678149,5,13,2015,W
501,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.37,77.6832 ,5,14,2015,W
502,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.5696138,79.0381297,5,17,2015,R
503,ebird,Photo,Indian Paradise-Flycatcher,Uttar Pradesh,North,26.013,80.9797 ,5,17,2015,R
504,ebird,Photo,Indian Paradise-Flycatcher,Uttar Pradesh,North,26.013,80.9797 ,5,17,2015,R
505,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.5967146,79.0381297,5,18,2015,W
506,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.4579,79.0401506,5,20,2015,W
507,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.4707,79.0678149,5,21,2015,R
508,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.453982,79.032855,5,22,2015,I
509,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.935027,79.9863897,5,23,2015,W
510,ebird,comments,Indian Paradise-Flycatcher,Uttar Pradesh,North,26.0073035,80.9701395,5,23,2015,W
511,Fb,Photo,Indian Paradise-Flycatcher,Madhya Pradesh,Central,26.280618,78.160447,5,24,2015,R
512,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.453982,79.032855,5,24,2015,W
513,Inaturalist,Photo,Indian Paradise-Flycatcher,Rajasthan,North,22.5402596,76.34408,5,26,2015,R
514,ebird,comments,Indian Paradise-Flycatcher,Gujarat,Central,21.7069,72.4030352,5,28,2015,W
515,ebird,comments,Indian Paradise-Flycatcher,NCT of Delhi,North,26.062108,77.1807575,5,30,2015,W
516,ebird,Photo,Indian Paradise-Flycatcher,Rajasthan,North,26.0621,76.4337,5,31,2015,R
517,ebird,comments,Indian Paradise-Flycatcher,Uttar Pradesh,North,26.0129781,80.9701395,6,4,2015,W
518,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.4230424,79.360689,6,12,2015,R
519,ebird,Photo,Indian Paradise-Flycatcher,Rajasthan,North,26.0272,77.517 ,6,13,2015,R
520,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.9834,79.561174,6,15,2015,W
521,Inaturalist,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,19.2178812,79.343908,6,17,2015,W
522,Inaturalist,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,19.2133939,79.358368,6,17,2015,R
523,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7764,76.8261909,6,20,2015,R
524,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,22.4654,75.8704662,6,22,2015,W
525,ebird,comments,Indian Paradise-Flycatcher,Himachal Pradesh,Himalayas,28.3634054,76.565,6,27,2015,W
526,Fb,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,29.219819,79.512667,7,2,2015,W
527,Fb,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,29.882108,78.706396,7,5,2015,W
528,ebird,comments,Indian Paradise-Flycatcher,NCT of Delhi,North,26.062108,77.1506095,7,12,2015,R
529,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.1331381,76.4378339,7,14,2015,R
530,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.1331381,76.4378339,7,18,2015,R
531,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.1331381,76.4378339,7,18,2015,R
532,ebird,comments,Indian Paradise-Flycatcher,Gujarat,Central,21.1292205,71.3185644,7,19,2015,W
533,OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,North,30.8724,75.794724,7,19,2015,W
534,OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,North,30.4374,75.836729,7,19,2015,R
535,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.1331381,76.4378339,7,19,2015,R
536,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.2549,76.4378339,7,27,2015,R
537,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.2549497,76.4378339,8,2,2015,R
538,ebird,comments,Indian Paradise-Flycatcher,Jammu & Kashmir,Himalayas,28.4638333,75.2510691,9,21,2015,W
539,ebird,Photo,Indian Paradise-Flycatcher,Haryana,North,26.062108,77.1541,9,27,2015,W
540,ebird,Photo,Indian Paradise-Flycatcher,Uttar Pradesh,North,26.062108,77.3064 ,10,2,2015,W
541,ebird,Photo,Indian Paradise-Flycatcher,NCT of Delhi,North,26.062108,77.1936,10,4,2015,R
542,ebird,Photo,Indian Paradise-Flycatcher,Jammu & Kashmir,Himalayas,28.4638,75.7617 ,10,5,2015,W
543,Fb,Photo,Indian Paradise-Flycatcher,Madhya Pradesh,Central,23.722457,81.024219,10,6,2015,W
544,ebird,comments,Indian Paradise-Flycatcher,Uttar Pradesh,North,26.0073035,80.9334683,10,7,2015,W
545,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.1980778,79.829911,10,13,2015,W
546,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3670742,77.6831734,10,14,2015,W
547,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,23.140213,76.4378339,10,15,2015,R
548,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9053957,79.2747796,10,15,2015,R
549,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.8625,79.2872143,10,16,2015,R
550,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3505,79.3888 ,10,16,2015,R
551,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.0910709,76.7866176,10,19,2015,W
552,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.882,75.6557608,10,22,2015,I
553,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.7363333,78.8803446,10,22,2015,R
554,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.7586,78.8837564,10,22,2015,R
555,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9351959,76.93828,10,25,2015,R
556,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0172325,77.5671418,10,26,2015,W
557,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.375924,74.0255463,10,27,2015,W
558,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9053957,79.2872143,10,27,2015,W
559,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,14.6309162,74.6326389,10,30,2015,W
560,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.37,75.74321,10,31,2015,W
561,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.903099,79.889142,10,31,2015,W
562,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,8.4649,78.027885,10,31,2015,W
563,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.6328386,74.801445,11,1,2015,W
564,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.8892283,75.6557608,11,2,2015,W
565,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,7.350895,80.049919,11,4,2015,R
566,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.8627,79.2872143,11,4,2015,R
567,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.3367009,76.7109237,11,5,2015,W
568,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.375289,72.8981709,11,6,2015,I
569,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9053957,78.9001,11,6,2015,W
570,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.8536944,77.5094716,11,8,2015,W
571,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,10.7343835,76.4579 ,11,10,2015,R
572,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,14.9760747,74.5299 ,11,13,2015,W
573,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,13.0802175,80.0696898,11,14,2015,R
574,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,11.0925172,76.7068 ,11,15,2015,W
575,ebird,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,17.9215429,73.7714,11,15,2015,W
576,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.3608854,74.1061735,11,21,2015,W
577,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9788,76.9022 ,11,21,2015,R
578,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,11.7891,75.5123 ,11,22,2015,W
579,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9351959,76.9228792,11,24,2015,I
580,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3607429,78.92624,11,25,2015,W
581,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9351959,76.9229 ,11,26,2015,I
582,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.3944802,73.8330173,11,27,2015,W
583,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.9995399,77.5671,11,27,2015,W
584,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,15.4418498,73.620123,11,27,2015,R
585,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,11.3182,75.8193 ,11,28,2015,W
586,ebird,Photo,Indian Paradise-Flycatcher,Telangana,Central,16.2615,77.8658 ,11,29,2015,W
587,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.2248,76.6193926,12,2,2015,W
588,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0574,76.6302744,12,5,2015,R
589,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0574,76.6305399,12,5,2015,R
590,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.3729,78.4527254,12,6,2015,R
591,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2823,73.513583,12,6,2015,W
592,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.632742,78.4527254,12,7,2015,W
593,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.6328386,78.4527254,12,7,2015,R
594,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.0216609,76.33937,12,7,2015,R
595,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0206,77.5839365,12,8,2015,R
596,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.878,74.860248,12,11,2015,R
597,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.0047966,76.7104 ,12,11,2015,R
598,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.7386996,78.1285429,12,12,2015,R
599,Fb,Photo,Indian Paradise-Flycatcher,Goa,South,15.217728,74.034809,12,13,2015,I
600,ebird,Photo,Indian Paradise-Flycatcher,Goa,South,14.8329975,74.0338 ,12,13,2015,I
601,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,11.7492688,75.3721,12,13,2015,W
602,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9053957,79.2819089,12,15,2015,R
603,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.3636531,74.1061735,12,16,2015,W
604,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.880351,74.860276,12,16,2015,W
605,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,17.4547,73.7714016,12,18,2015,R
606,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.182,76.6119778,12,19,2015,W
607,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1012685,76.7545867,12,19,2015,R
608,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.375924,73.8138771,12,19,2015,W
609,OBI,Photo,Indian Paradise-Flycatcher,Gujarat,Central,29.3442,72.499209,12,20,2015,W
610,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.3699596,77.6832 ,12,20,2015,W
611,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,11.9448988,77.142477,12,22,2015,W
612,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.5705836,75.6282829,12,22,2015,R
613,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,10.105,76.7546 ,12,22,2015,R
614,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.3532,80.4453,12,23,2015,W
615,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.356313,76.690745,12,24,2015,W
616,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.37,77.6832 ,12,25,2015,W
617,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.884,75.4096413,12,26,2015,R
618,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.37,74.8151,12,27,2015,R
619,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,10.0585898,76.7024 ,12,27,2015,R
620,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,8.4649,77.2955704,12,27,2015,W
621,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.3973133,76.6446,12,28,2015,W
622,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5333048,76.6462 ,12,28,2015,R
623,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5345,76.6462 ,12,28,2015,W
624,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.9268,74.862206,12,29,2015,R
625,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.37,77.6832,12,30,2015,W
626,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9351959,76.9228792,12,30,2015,I
627,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3670742,77.6831734,12,31,2015,W
628,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.3699596,77.6847,12,31,2015,I
629,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9433,76.948284,12,31,2015,R
630,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9053957,79.2819089,12,31,2015,R
631,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.8678,80.253067,12,31,2015,R
632,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.565082,78.4527254,1,1,2016,W
633,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.2878954,76.6198368,1,1,2016,W
634,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0798702,77.5713301,1,1,2016,R
635,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,8.5142539,77.2119623,1,2,2016,W
636,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0206,77.5839365,1,3,2016,R
637,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.359999,80.4453 ,1,3,2016,W
638,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.9995399,77.5671,1,4,2016,W
639,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.2821,76.5989477,1,5,2016,W
640,Inaturalist,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,12.5243,79.985635,1,5,2016,R
641,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0172,77.5671418,1,6,2016,W
642,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.37,74.8015,1,7,2016,R
643,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,15.0765,74.5205855,1,8,2016,R
644,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,15.0839,74.5205855,1,8,2016,R
645,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,15.283709,74.5206,1,8,2016,W
646,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,14.701286,74.6326 ,1,8,2016,W
647,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,14.6309162,74.6326389,1,9,2016,R
648,ebird,Photo,Indian Paradise-Flycatcher,Telangana,Central,17.2296,78.3035,1,9,2016,R
649,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3616,77.6831734,1,10,2016,I
650,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.9855,75.3597307,1,10,2016,R
651,ebird,Photo,Indian Paradise-Flycatcher,Goa,South,15.4354132,73.833 ,1,12,2016,W
652,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.37,74.7928083,1,12,2016,I
653,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.0740864,76.6262054,1,12,2016,W
654,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.8537,77.6303387,1,12,2016,W
655,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.995163,75.33607,1,12,2016,R
656,ebird,Photo,Indian Paradise-Flycatcher,Odisha,East,19.1437641,85.439 ,1,12,2016,R
657,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.2967,74.8006779,1,14,2016,R
658,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.949738,75.2209425,1,14,2016,W
659,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2924,74.2380524,1,15,2016,W
660,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3616,77.6831734,1,15,2016,I
661,ebird,comments,Indian Paradise-Flycatcher,Puducherry,South,11.7461,79.6589916,1,15,2016,W
662,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.37,75.0901365,1,16,2016,W
663,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,10.3086366,77.2213 ,1,16,2016,W
664,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.0212243,77.95305,1,16,2016,W
665,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.7597,79.0311599,1,16,2016,W
666,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.711932,74.0121031,1,17,2016,W
667,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3689948,77.6831734,1,17,2016,W
668,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.2866939,76.1111569,1,17,2016,W
669,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,5.976744,80.1348 ,1,17,2016,R
670,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.0925172,77.5723,1,17,2016,R
671,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.0925172,77.5837126,1,17,2016,R
672,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.9053957,79.2819089,1,18,2016,R
673,Fb,Photo,Indian Paradise-Flycatcher,Goa,South,15.459714,73.832609,1,19,2016,R
674,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.3311138,76.6569 ,1,19,2016,I
675,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0574,76.6305399,1,19,2016,R
676,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.9207554,77.6043347,1,23,2016,W
677,Inaturalist,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.6921745,77.565595,1,24,2016,R
678,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,14.5742,75.0412 ,1,24,2016,R
679,Inaturalist,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,17.3473,73.89189,1,24,2016,W
680,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,8.4949534,78.027885,1,25,2016,W
681,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,12.950459,80.2381,1,25,2016,R
682,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3699596,77.6831734,1,26,2016,W
683,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,9.6146,76.3500409,1,26,2016,W
684,ebird,comments,Indian Paradise-Flycatcher,Puducherry,South,11.9493,79.69954,1,26,2016,W
685,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.398,78.7104321,1,29,2016,W
686,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0585967,76.6302744,1,30,2016,W
687,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.086037,76.688632,1,31,2016,R
688,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3016403,76.965594,1,31,2016,R
689,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2924,74.233675,2,1,2016,W
690,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1218371,76.6871157,2,2,2016,W
691,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.0961351,76.688632,2,3,2016,R
692,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.727595,76.6603942,2,4,2016,W
693,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.3699596,77.6832 ,2,6,2016,I
694,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.8536944,77.5094716,2,7,2016,W
695,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.021283,77.5839 ,2,7,2016,R
696,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5311,76.64 ,2,7,2016,W
697,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3295,74.8246837,2,12,2016,R
698,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3699596,77.6831734,2,12,2016,W
699,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.3382157,75.834107,2,12,2016,R
700,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0574,76.6302744,2,12,2016,R
701,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.6328386,78.4527254,2,13,2016,W
702,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.6328386,78.4527254,2,13,2016,R
703,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.6328386,78.4527254,2,13,2016,I
704,ebird,Photo,Indian Paradise-Flycatcher,Gujarat,Central,20.248524,70.5013 ,2,13,2016,W
705,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,15.2924,74.9851 ,2,13,2016,R
706,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.9933,72.9039001,2,13,2016,I
707,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,9.6464,78.10458,2,13,2016,R
708,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,12.8594601,79.1282,2,13,2016,R
709,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.8537,79.1282129,2,13,2016,I
710,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.9934334,80.2288628,2,13,2016,W
711,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.9934,80.2380896,2,13,2016,W
712,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.5249,72.818327,2,14,2016,R
713,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.5249,72.818327,2,14,2016,R
714,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.0612,76.7866176,2,14,2016,R
715,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.3721,78.4527254,2,15,2016,R
716,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.884,75.32884,2,15,2016,R
717,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,10.787051,76.653852,2,15,2016,W
718,ebird,Photo,Indian Paradise-Flycatcher,Madhya Pradesh,Central,21.129394,76.221,2,15,2016,W
719,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.956278,80.2380896,2,15,2016,R
720,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.8329975,74.0337539,2,17,2016,W
721,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1669185,76.6034737,2,18,2016,W
722,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.953889,80.2380896,2,18,2016,I
723,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,13.0857318,80.0633705,2,19,2016,W
724,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.998829,72.9039001,2,20,2016,W
725,ebird,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,19.047359,72.9039 ,2,20,2016,W
726,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,32.1886,80.41702,2,20,2016,W
727,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.2698754,77.4297094,2,21,2016,R
728,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3658633,77.6831734,2,21,2016,R
729,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.3073,76.620324,2,21,2016,W
730,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.282495,73.769154,2,21,2016,W
731,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,16.811652,74.118415,2,21,2016,W
732,ebird,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,17.922303,73.7714 ,2,21,2016,W
733,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0206,77.5839365,2,22,2016,R
734,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.288943,73.8865757,2,24,2016,W
735,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0172325,77.5671418,2,24,2016,W
736,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.6328386,78.4527254,2,25,2016,W
737,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.6328386,78.4527254,2,25,2016,R
738,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2906452,73.8865757,2,27,2016,W
739,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1098,76.6871157,2,27,2016,R
740,Inaturalist,Photo,Indian Paradise-Flycatcher,Odisha,East,21.052151,84.239473,2,27,2016,W
741,ebird,comments,Indian Paradise-Flycatcher,Gujarat,Central,21.1531166,70.8434572,2,28,2016,R
742,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0798702,77.5713301,2,28,2016,R
743,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.0212243,76.33937,2,28,2016,R
744,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.9875,80.2380896,2,29,2016,W
745,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.7258,79.1534 ,3,2,2016,I
746,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.7258,79.1534 ,3,2,2016,W
747,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0206,77.5839365,3,4,2016,R
748,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.810289,74.0337539,3,5,2016,W
749,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.0231,77.5751 ,3,5,2016,R
750,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.021921,77.5839 ,3,5,2016,R
751,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.375924,74.0255463,3,5,2016,R
752,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,13.0857318,80.0633705,3,5,2016,W
753,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5311,76.64 ,3,5,2016,W
