source,documentation,COMMON.NAME,url,OBSERVATION.DATE,LATITUDE,LONGITUDE,morph,aberration,int_rating
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/67051695,25-Dec-20,18.37586782,73.76915932,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/67050279,25-Dec-20,10.03388176,76.62022579,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/67004401,15-Nov-20,12.04665562,76.6268304,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/65584789,24-Nov-20,10.5332864,76.34332474,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/65381498,21-Nov-20,6.24097371,80.13330447,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/65381487,17-Nov-20,6.230518947,80.11060282,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/65216501,15-Nov-20,22.83398141,86.72267107,R(D),,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/65146156,18-Nov-20,6.886892024,79.94811184,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/64918035,15-Nov-20,11.98903903,75.3209148,I,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/64725530,12-Nov-20,11.98860153,75.32162994,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/64721550,12-Nov-20,9.238885267,76.85452849,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/63565939,26-Oct-20,12.8789462,77.5297793,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/63554468,26-Oct-20,18.54835972,73.78282528,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/63403289,24-Oct-20,12.99015087,77.6624018,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/63389053,24-Oct-20,12.8789462,77.5297793,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/63078625,19-Oct-20,12.34637287,76.60664644,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/61680275,3-Oct-20,13.02298188,77.5695434,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/61384118,28-Sep-20,34.05987094,74.80745014,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/246125979,3-Jan-21,18.37931463,73.76879286,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/245248008,11-Feb-21,15.0217083,74.20866039,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/239757734,9-Jan-21,10.0612063,76.34652816,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/215167432,17-Jan-21,15.80697133,74.20131683,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/214537310,3-Jan-21,15.81079504,74.1962726,I,,4
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/192799860,21-Feb-21,17.43335597,78.36305697,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/192657569,3-Jan-21,18.98865638,73.27117905,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/192657563,3-Jan-21,19.00014393,73.27705376,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/139170960,25-Jan-21,11.77526904,78.20925057,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/136819825,5-Jan-21,17.3364555,77.9048268,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/136818991,1-Jan-21,17.3364555,77.9048268,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/114611883,24-Jan-21,17.31959955,81.44251607,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/105149773,19-Feb-21,13.01937642,77.56846468,I,,2
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/99299213,15-Jan-21,13.07092897,77.58019712,W,,
