source,documentation,COMMON.NAME,SAMPLING.EVENT.IDENTIFIER,morph,aberration,int_rating
eBird,Photo,Indian Paradise-Flycatcher,S64443850,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64490975,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64558588,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64558588,R,,
eBird,Photo,Indian Paradise-Flycatcher,S76979180,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64629979,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67397615,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64628209,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64558588,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64559928,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64625580,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64696074,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64624305,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64703259,R,,
eBird,Photo,Indian Paradise-Flycatcher,S77257913,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64749073,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64781758,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64782008,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64807062,W,,
eBird,Photo,Indian Paradise-Flycatcher,S96190612,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65673737,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65362931,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65013286,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64894820,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64889118,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64944780,W,,
eBird,Photo,Indian Paradise-Flycatcher,S122977959,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65033837,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65032086,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65035619,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65071402,R,,
eBird,Photo,Indian Paradise-Flycatcher,S215313881,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65304743,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65263116,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65981263,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65261670,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65571747,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65571466,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65304743,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65263926,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65303000,I,,2
eBird,Photo,Indian Paradise-Flycatcher,S65359997,R,,
